sales_return	Sales Return
belum_dibayar_approve	Unpaid Approval
belum_dibayar_posted	Unpaid Posted
belum_dibayar_void	Unpaid Void
belum_dibayar_draft	Unpaid Draft
belum_dibayar_final	Unpaid Final
belum_dibayar_cancel	Unpaid Cancel
belum_dibayar_reject	Unpaid Reject
belum_dibayar_accept	Unpaid Accept
belum_dibayar_confirm	Unpaid Confirm
belum_dibayar_lock	Unpaid Locked
belum_dibayar_unlock	Unpaid Unlocked
belum_dibayar_archive	Unpaid Archived
belum_dibayar_restore	Unpaid Restored
belum_dibayar_publish	Unpaid Published
belum_dibayar_unpublish	Unpaid Unpublished
belum_dibayar_pending	Unpaid Pending
belum_dibayar_processing	Unpaid Processing
belum_dibayar_shipped	Unpaid Shipped
belum_dibayar_delivered	Unpaid Delivered
belum_dibayar_returned	Unpaid Returned
belum_dibayar_refunded	Unpaid Refunded
belum_dibayar_exchanged	Unpaid Exchanged
belum_dibayar_transferred	Unpaid Transferred
belum_dibayar_received	Unpaid Received
belum_dibayar_sent	Unpaid Sent
belum_dibayar_read	Unpaid Read
belum_dibayar_unread	Unpaid Unread
belum_dibayar_starred	Unpaid Starred
belum_dibayar_pinned	Unpaid Pinned
belum_dibayar_blocked	Unpaid Blocked
belum_dibayar_banned	Unpaid Banned
belum_dibayar_suspended	Unpaid Suspended
belum_dibayar_expired	Unpaid Expired
file_sumber_jubelio	Jubelio Source File (CSV)
format_jpg_png	Format: JPG, PNG (Max. 2MB). Recommended Landscape/Square transparent ratio.
format_yang_diizinkan	Allowed formats: JPG, PNG, PDF (Max. 5 MB)
form_hanya_ukuran	This form is for 1 size per submit - for multi-size, repeat submit per size.
form_pengajuan_payment_plan	Payment Plan Submission Form (Integrated with PO)
form_retur_pembelian	Purchase Return Form (Debit Note)
gagal_mengambil_data	Failed to fetch data. Please ensure stable internet connection.
grand_total_colon	GRAND TOTAL:
harga_total	Total Price
harga_pokok	Cost Price
hpp	HPP
hutang	Payable
piutang	Receivable
prive	Drawing
laba_bersih	Net Profit
laba_ditahan	Retained Earnings
laba_tahun_berjalan	Current Year Earnings
rugi_bersih	Net Loss
rugi_kotor	Gross Loss
rugi_usaha	Operating Loss
penjualan_bersih	Net Sales
pembelian_bersih	Net Purchases
persediaan_awal	Beginning Inventory
persediaan_akhir	Ending Inventory
potongan_pembelian	Purchase Discount
potongan_penjualan	Sales Discount
biaya_angkut_pembelian	Freight-In
biaya_pembelian	Purchase Cost
biaya_penjualan	Selling Expense
biaya_administrasi	Administrative Expense
pendapatan_jasa	Service Revenue
pendapatan_bunga	Interest Revenue
beban_bunga	Interest Expense
banjir	Flood
bank_kas	Bank / Cash
bank_masuk	Bank In
bank_keluar	Bank Out
bank_transfer	Bank Transfer
bank_charge	Bank Charge
buku_besar	General Ledger
buku_besar_pembantu	Subsidiary Ledger
buku_kas	Cash Book
buku_bank	Bank Book
buku_pembelian	Purchase Book
buku_penjualan	Sales Book
bukti_fisik	Physical Evidence
bukti_kas_masuk	Cash Receipt Voucher
bukti_kas_keluar	Cash Payment Voucher
bukti_bank_masuk	Bank Receipt Voucher
bukti_bank_keluar	Bank Payment Voucher
bukti_pembelian	Purchase Voucher
bukti_penjualan	Sales Voucher
bukti_memorial	Memorial Voucher
tahunan	Yearly
harian	Daily
mingguan	Weekly
triwulanan	Quarterly
semester	Semester
per_periode	Per Period
per_akun	Per Account
per_divisi	Per Division
per_cabang	Per Branch
per_proyek	Per Project
per_departemen	Per Department
per_bagian	Per Section
per_pelanggan	Per Customer
per_supplier	Per Supplier
per_sales	Per Sales
per_karyawan	Per Employee
per_produk	Per Product
per_item	Per Item
per_kategori	Per Category
per_merk	Per Brand
per_tipe	Per Type
per_gudang	Per Warehouse
per_toko	Per Store
per_channel	Per Channel
per_platform	Per Platform
per_mata_uang	Per Currency
per_bank	Per Bank
per_kas	Per Cash
per_rekening	Per Account
per_kode_akun	Per Account Code
per_jenis_biaya	Per Cost Type
per_sumber_dana	Per Funding Source
per_tujuan	Per Purpose
per_keperluan	Per Need
per_keterangan	Per Note
per_status	Per Status
per_kondisi	Per Condition
per_kategori_usia	Per Age Category
per_gender	Per Gender
per_pendidikan	Per Education
per_jabatan	Per Position
per_level	Per Level
per_grade	Per Grade
per_status_karyawan	Per Employee Status
per_status_pajak	Per Tax Status
per_golongan_darah	Per Blood Type
per_agama	Per Religion
per_status_perkawinan	Per Marital Status
per_kewarganegaraan	Per Citizenship
per_provinsi	Per Province
per_kota	Per City
per_kecamatan	Per District
per_kelurahan	Per Village
per_kode_pos	Per Postal Code
per_area	Per Area
per_wilayah	Per Region
per_zona	Per Zone
per_rute	Per Route
per_cluster	Per Cluster
per_segment	Per Segment
per_kelompok	Per Group
per_golongan	Per Classification
per_klasifikasi	Per Classification
per_kategori_akun	Per Account Category
per_header_akun	Per Account Header
per_sub_akun	Per Sub Account
per_tipe_akun	Per Account Type
per_saldo_normal	Per Normal Balance
per_mata_uang_fungsional	Per Functional Currency
per_mata_uang_asing	Per Foreign Currency
per_kurs	Per Exchange Rate
per_tanggal_kurs	Per Exchange Rate Date
per_jenis_pajak	Per Tax Type
per_tarif_pajak	Per Tax Rate
per_fasilitas_pajak	Per Tax Facility
per_jenis_dokumen	Per Document Type
per_tipe_dokumen	Per Document Type
per_kategori_dokumen	Per Document Category
per_jenis_transaksi	Per Transaction Type
per_tipe_transaksi	Per Transaction Type
per_kategori_transaksi	Per Transaction Category
per_sumber_transaksi	Per Transaction Source
per_media_transaksi	Per Transaction Media
per_jenis_pembayaran	Per Payment Type
per_metode_pembayaran	Per Payment Method
per_tipe_pembayaran	Per Payment Type
per_kategori_pembayaran	Per Payment Category
per_status_pembayaran	Per Payment Status
per_jenis_penerimaan	Per Receipt Type
per_metode_penerimaan	Per Receipt Method
per_tipe_penerimaan	Per Receipt Type
per_kategori_penerimaan	Per Receipt Category
per_status_penerimaan	Per Receipt Status
per_jenis_pengeluaran	Per Expense Type
per_metode_pengeluaran	Per Expense Method
per_tipe_pengeluaran	Per Expense Type
per_kategori_pengeluaran	Per Expense Category
per_status_pengeluaran	Per Expense Status
per_jenis_mutasi	Per Transfer Type
per_tipe_mutasi	Per Transfer Type
per_kategori_mutasi	Per Transfer Category
per_status_mutasi	Per Transfer Status
per_jenis_penyesuaian	Per Adjustment Type
per_tipe_penyesuaian	Per Adjustment Type
per_kategori_penyesuaian	Per Adjustment Category
per_status_penyesuaian	Per Adjustment Status
per_jenis_koreksi	Per Correction Type
per_tipe_koreksi	Per Correction Type
per_kategori_koreksi	Per Correction Category
per_status_koreksi	Per Correction Status
per_jenis_pembulatan	Per Rounding Type
per_tipe_pembulatan	Per Rounding Type
per_kategori_pembulatan	Per Rounding Category
per_status_pembulatan	Per Rounding Status
purchase_inflow	Purchase Inflow
warehouse_management	Warehouse Management
manufacturing	Manufacturing
setting	Setting
profile	Profile
login	Login
register	Register
forgot_password	Forgot Password
reset_password	Reset Password
report_finance	Financial Report
report_inventory	Inventory Report
report_sales	Sales Report
report_purchase	Purchase Report
trial_balance_report	Trial Balance
profit_loss_report	Profit & Loss Report
balance_sheet_report	Balance Sheet Report
cash_flow_report	Cash Flow Report
tax_report	Tax Report
custom_report	Custom Report
configuration	Configuration
backup	Backup
log	Log
audit_trail	Audit Trail
help	Help
about	About
version	Version
license	License
support	Support
feedback	Feedback
bug_report	Bug Report
feature_request	Feature Request
inbound	Inbound
outbound	Outbound
material_receipt	Material Receipt
material_receipt_desc	Receive raw materials from suppliers
work_order	Work Order
work_order_desc	Manage production work orders
finish_good	Finished Goods
wip	Work in Process
spk	Production Order
spk_desc	Production completion and label printing
opname	Stock Opname
opname_desc	Physical stock count and adjustment
transfer_gudang	Warehouse Transfer
transfer_gudang_desc	Transfer stock between warehouses
adjustment	Adjustment
adjustment_desc	Stock adjustment (increase/decrease)
opname_awal	Initial Stock Opname
opname_akhir	Final Stock Opname
stok_masuk	Stock In
stok_keluar	Stock Out
stok_opname	Stock Opname
stok_sistem	System Stock
selisih_stok	Stock Difference
stok_habis	Out of Stock
stok_tersedia	Available Stock
stok_dipesan	Ordered Stock
stok_diterima	Received Stock
stok_ditolak	Rejected Stock
stok_dikembalikan	Returned Stock
stok_rusak	Damaged Stock
stok_expired	Expired Stock
stok_retur	Return Stock
stok_promosi	Promotional Stock
stok_sample	Sample Stock
stok_donasi	Donation Stock
stok_dipinjam	Borrowed Stock
stok_dikembalikan_dipinjam	Returned Borrowed Stock
stok_dipinjam_diterima	Received Borrowed Stock
stok_dipinjam_ditolak	Rejected Borrowed Stock
stok_dipinjam_dikembalikan	Returned Borrowed Stock
stok_dipinjam_rusak	Damaged Borrowed Stock
stok_dipinjam_expired	Expired Borrowed Stock
stok_dipinjam_retur	Returned Borrowed Stock
stok_dipinjam_promosi	Promotional Borrowed Stock
stok_dipinjam_sample	Sample Borrowed Stock
stok_dipinjam_donasi	Donation Borrowed Stock
npwp	Tax ID (NPWP)
nik	ID Number (NIK)
gender	Gender
laki_laki	Male
perempuan	Female
tempat_lahir	Place of Birth
tanggal_lahir	Date of Birth
agama	Religion
status_perkawinan	Marital Status
belum_menikah	Single
menikah	Married
cerai	Divorced
pendidikan	Education
pekerjaan	Job
penghasilan	Income
sumber_penghasilan	Income Source
alamat_ktp	KTP Address
alamat_domisili	Domicile Address
nama_ibu	Mother Name
nama_ayah	Father Name
nama_pasangan	Spouse Name
nama_keluarga	Family Name
hubungan_keluarga	Family Relationship
telepon_darurat	Emergency Phone
alamat_darurat	Emergency Address
nama_bank	Bank Name
cabang_bank	Bank Branch
no_rekening	Account Number
nama_rekening	Account Name
atas_nama	Account Holder
success_update	Data updated successfully
success_delete	Data deleted successfully
success_import	Data imported successfully
success_export	Data exported successfully
success_upload	File uploaded successfully
success_download	File downloaded successfully
success_submit	Data submitted successfully
success_approve	Data approved successfully
success_reject	Data rejected successfully
success_verify	Data verified successfully
success_confirm	Data confirmed successfully
success_cancel	Transaction cancelled successfully
success_void	Transaction voided successfully
success_post	Transaction posted successfully
success_unpost	Transaction unposted successfully
success_lock	Data locked successfully
success_unlock	Data unlocked successfully
success_archive	Data archived successfully
success_restore	Data restored successfully
error_update	Failed to update data
error_delete	Failed to delete data
error_import	Failed to import data
error_export	Failed to export data
error_upload	Failed to upload file
error_download	Failed to download file
error_submit	Failed to submit data
error_approve	Failed to approve data
error_reject	Failed to reject data
error_verify	Failed to verify data
error_confirm	Failed to confirm data
error_cancel	Failed to cancel transaction
error_void	Failed to void transaction
error_post	Failed to post transaction
error_unpost	Failed to unpost transaction
error_lock	Failed to lock data
error_unlock	Failed to unlock data
error_archive	Failed to archive data
error_restore	Failed to restore data
warning_delete	Are you sure you want to delete this data?
warning_cancel	Are you sure you want to cancel this transaction?
warning_void	Are you sure you want to void this transaction?
warning_unpost	Are you sure you want to unpost this transaction?
confirm_delete	Yes, delete this data
confirm_cancel	Yes, cancel this transaction
confirm_void	Yes, void this transaction
confirm_unpost	Yes, unpost this transaction
confirm_save	Yes, save this data
confirm_update	Yes, update this data
confirm_submit	Yes, submit this data
confirm_approve	Yes, approve this data
confirm_reject	Yes, reject this data
confirm_verify	Yes, verify this data
confirm_confirm	Yes, confirm this data
confirm_post	Yes, post this transaction
confirm_lock	Yes, lock this data
confirm_unlock	Yes, unlock this data
confirm_archive	Yes, archive this data
confirm_restore	Yes, restore this data
no_data_found	No data found
no_data_available	No data available
no_record_found	No record found
no_record_available	No record available
data_not_found	Data not found
record_not_found	Record not found
showing_data	Showing data
from	from
to	to
of	of
entries	entries
sort_by	Sort by
order_by	Order by
per_page	Per page
page	Page
first	First
last	Last
next	Next
previous	Previous
please_wait	Please wait...
data_loaded	Data loaded successfully
data_saved	Data saved successfully
data_updated	Data updated successfully
data_deleted	Data deleted successfully
analisa	Analysis
issue_fabric	Issue Fabric
issue_yarn	Issue Yarn
terima_kain_finished	Receive Finished Fabric
terima_kain_grey	Receive Grey Fabric
fabric_code	Fabric Code
fabric_type	Fabric Type
format_jpg_png_maks_2mb	Format: JPG, PNG (Max 2MB). Recommended Landscape/Square ratio with transparent background.
form_ini_hanya_utk_1_ukuran	This form is for 1 size per submit — for multiple sizes, repeat submit per size.
import_csv_kode_bantu	Import CSV Helper Code (Relation)
import_csv_master barang	Import CSV Master Items
import_excel_csv_master_akun	Import Excel/CSV Master Account (COA)
import_mrn_masal	Import MRN Massal
item_name	Item Name
item_type	Item Type
jenis_item	Item Type
include_ppn	Include PPN (Already Including)
informasi_otomatis_dicetak	This information is automatically printed on the top header of print/export Excel of all financial reports.
input_penerimaan barang	Goods Receipt Input (Inbound)
jelaskan_secara_rinci	Explain in detail the item details and purpose of fund usage...
kain_grey_asal	Origin Grey Fabric
kain_grey_tujuan	Destination Grey Fabric
kain_printed	Printed Fabric
kain_stok	Fabric Stock
kain_wip	Fabric WIP
knitter_processor_stitcher	Knitter, Processor (dyeing/printing), Stitcher/CMT, and raw material suppliers.
kode akun	Account Code
KODE_AKUN	ACCOUNT CODE
kode_akun_*	Account Code *
kode_akun_tidak_dapat_diubah	Account code cannot be changed to maintain journal integrity.
KODE_BANTU	HELPER CODE
KODE_BANTU_OPSIONAL	HELPER CODE (OPTIONAL)
klik_disini_untuk_upload	Click here to upload
klik_untuk_mendapatkan_kode	Click to get code
klik_untuk_mengubah	Click to change
klik_untuk_menambah	Click to add
klik_untuk_menghapus	Click to delete
klik_untuk_mengedit	Click to edit
klik_untuk_melihat	Click to view
klik_untuk_mencetak	Click to print
klik_untuk_mengunduh	Click to download
klik_untuk_mengirim	Click to send
klik_untuk_memproses	Click to process
klik_untuk_menyimpan	Click to save
klik_untuk_membatalkan	Click to cancel
klik_untuk_konfirmasi	Click to confirm
klik_untuk_setujui	Click to approve
klik_untuk_tolak	Click to reject
klik_untuk_selesai	Click to finish
klik_untuk_batal	Click to cancel
klik_untuk_tutup	Click to close
klik_untuk_kembali	Click to go back
klik_untuk_lanjut	Click to continue
klik_untuk_detail	Click for detail
klik_untuk_filter	Click to filter
klik_untuk_cari	Click to search
klik_untuk_reset	Click to reset
klik_untuk_pilih	Click to select
klik_untuk_tambah	Click to add
klik_untuk_hapus	Click to delete
klik_untuk_edit	Click to edit
klik_untuk_simpan	Click to save
kode_gudang	Warehouse Code
nama_gudang	Warehouse Name
alamat_gudang	Warehouse Address
telepon_gudang	Warehouse Phone
pic_gudang	Warehouse PIC
stok_gudang	Warehouse Stock
stok_saat_ini	Current Stock
stok_minimum	Minimum Stock
stok_maksimum	Maximum Stock
stok_rata_rata	Average Stock
stok_total	Total Stock
stok_dikirim	Shipped Stock
stok_diretur	Returned Stock
stok_dihapus	Deleted Stock
stok_disesuaikan	Adjusted Stock
stok_dipindah	Transferred Stock
stok_diproses	Processed Stock
stok_selesai	Completed Stock
stok_belum_selesai	Unfinished Stock
stok_belum_diterima	Not Yet Received Stock
stok_belum_dikirim	Not Yet Shipped Stock
stok_belum_diproses	Not Yet Processed Stock
stok_belum_disimpan	Not Yet Saved Stock
stok_belum_diverifikasi	Not Yet Verified Stock
stok_belum_disetujui	Not Yet Approved Stock
stok_belum_dibayar	Not Yet Paid Stock
stok_belum_lunas	Not Yet Paid Off Stock
stok_belum_jatuh_tempo	Not Yet Due Stock
stok_belum_batal	Not Yet Cancelled Stock
stok_belum_void	Not Yet Void Stock
stok_belum_posted	Not Yet Posted Stock
stok_belum_reconciled	Not Yet Reconciled Stock
stok_belum_matched	Not Yet Matched Stock
stok_belum_balanced	Not Yet Balanced Stock
stok_belum_valid	Not Yet Valid Stock
stok_belum_invalid	Not Yet Invalid Stock
stok_belum_verified	Not Yet Verified Stock
stok_belum_approved	Not Yet Approved Stock
stok_belum_confirmed	Not Yet Confirmed Stock
stok_belum_cleared	Not Yet Cleared Stock
stok_belum_archived	Not Yet Archived Stock
stok_belum_published	Not Yet Published Stock
stok_belum_draft	Not Yet Draft Stock
stok_belum_pending	Not Yet Pending Stock
stok_belum_processing	Not Yet Processing Stock
stok_belum_shipped	Not Yet Shipped Stock
stok_belum_delivered	Not Yet Delivered Stock
stok_belum_returned	Not Yet Returned Stock
stok_belum_refunded	Not Yet Refunded Stock
stok_belum_exchanged	Not Yet Exchanged Stock
stok_belum_transferred	Not Yet Transferred Stock
stok_belum_received	Not Yet Received Stock
stok_belum_sent	Not Yet Sent Stock
stok_belum_read	Not Yet Read Stock
stok_belum_unread	Not Yet Unread Stock
stok_belum_starred	Not Yet Starred Stock
stok_belum_pinned	Not Yet Pinned Stock
stok_belum_blocked	Not Yet Blocked Stock
stok_belum_banned	Not Yet Banned Stock
stok_belum_suspended	Not Yet Suspended Stock
stok_belum_expired	Not Yet Expired Stock
stok_belum_active	Not Yet Active Stock
stok_belum_inactive	Not Yet Inactive Stock
stok_belum_enabled	Not Yet Enabled Stock
stok_belum_disabled	Not Yet Disabled Stock
stok_belum_visible	Not Yet Visible Stock
stok_belum_hidden	Not Yet Hidden Stock
stok_belum_locked	Not Yet Locked Stock
stok_belum_unlocked	Not Yet Unlocked Stock
format_csv_11_kolom	CSV/Excel Format (11 Columns):
akun_belum_dipilih	Account not selected
akun_debet	Debit Account
akun_kredit	Credit Account
akun_name	Account Name
akun_saldo	Account Balance
akun_tidak_ditemukan	Account not found
akun_undefined	Undefined account
amount	Amount
amount_rp	Amount (Rp)
amount_total	Total Amount
analysis	Analysis
anggaran	Budget
anggaran_awal	Initial Budget
anggaran_berjalan	Running Budget
anggaran_perubahan	Budget Changes
approval_status	Approval Status
approved_at	Approved At
approved_by	Approved By
approved_date	Approval Date
approved_time	Approval Time
ap_account	AP Account
ap_amount	AP Amount
ap_balance	AP Balance
ap_total	Total AP
ap_trade	Trade Payable
ap_other	Other Payable
ar_account	AR Account
ar_amount	AR Amount
ar_balance	AR Balance
ar_total	Total AR
ar_trade	Trade Receivable
ar_other	Other Receivable
barang_datang	Incoming Goods
barang_jadi	Finished Goods
barang_kembali	Returned Goods
barang_rusak	Damaged Goods
barang_selisih	Goods Difference
barang_temp	Temporary Goods
batch	Batch
batch_no	Batch No.
batch_qty	Batch Qty
batch_status	Batch Status
belum_disimpan	Not Saved
belum_disetujui	Not Approved
belum_jatuh_tempo	Not Due
belum_batal	Not Cancelled
belum_void	Not Void
belum_posted	Not Posted
belum_reconciled	Not Reconciled
belum_matched	Not Matched
belum_balanced	Not Balanced
belum_valid	Not Valid
belum_invalid	Not Invalid
belum_approved	Not Approved
belum_confirmed	Not Confirmed
belum_cleared	Not Cleared
belum_archived	Not Archived
belum_published	Not Published
belum_draft	Not Draft
belum_pending	Not Pending
belum_processing	Not Processing
belum_shipped	Not Shipped
belum_delivered	Not Delivered
belum_returned	Not Returned
belum_refunded	Not Refunded
belum_exchanged	Not Exchanged
belum_transferred	Not Transferred
belum_received	Not Received
belum_sent	Not Sent
belum_read	Not Read
belum_unread	Not Unread
belum_starred	Not Starred
belum_pinned	Not Pinned
belum_blocked	Not Blocked
belum_banned	Not Banned
belum_suspended	Not Suspended
belum_expired	Not Expired
belum_active	Not Active
belum_inactive	Not Inactive
belum_enabled	Not Enabled
belum_disabled	Not Disabled
belum_visible	Not Visible
belum_hidden	Not Hidden
belum_locked	Not Locked
belum_unlocked	Not Unlocked
bank_charges	Bank Charges
bank_charges_rp	Bank Charges (Rp)
banyak	Many
banyak_data	Many Data
banyak_item	Many Items
barang_&_jasa	Goods & Services
barang_&_jasa_lain	Other Goods & Services
barang_baru	New Goods
barang_bekas	Used Goods
barang_bekas_bernilai	Valued Used Goods
barang_dalam_proses	Goods in Process
barang_dalam_perjalanan	Goods in Transit
barang_dipesan	Ordered Goods
barang_jasa	Goods & Services
